Population,Year,Literate,Gender,Race,Age-Group,State
16855.0,2022,Yes,Male,White,15-19,RO
8208.0,2022,Yes,Male,White,15-19,AC
30666.0,2022,Yes,Male,White,15-19,AM
5093.0,2022,Yes,Male,White,15-19,RR
64688.0,2022,Yes,Male,White,15-19,PA
6800.0,2022,Yes,Male,White,15-19,AP
13108.0,2022,Yes,Male,White,15-19,TO
54461.0,2022,Yes,Male,White,15-19,MA
27691.0,2022,Yes,Male,White,15-19,PI
86994.0,2022,Yes,Male,White,15-19,CE
45789.0,2022,Yes,Male,White,15-19,RN
50661.0,2022,Yes,Male,White,15-19,PB
105957.0,2022,Yes,Male,White,15-19,PE
35602.0,2022,Yes,Male,White,15-19,AL
20799.0,2022,Yes,Male,White,15-19,SE
96686.0,2022,Yes,Male,White,15-19,BA
245998.0,2022,Yes,Male,White,15-19,MG
42042.0,2022,Yes,Male,White,15-19,ES
186108.0,2022,Yes,Male,White,15-19,RJ
761407.0,2022,Yes,Male,White,15-19,SP
232685.0,2022,Yes,Male,White,15-19,PR
172294.0,2022,Yes,Male,White,15-19,SC
246564.0,2022,Yes,Male,White,15-19,RS
38503.0,2022,Yes,Male,White,15-19,MS
39031.0,2022,Yes,Male,White,15-19,MT
83351.0,2022,Yes,Male,White,15-19,GO
36497.0,2022,Yes,Male,White,15-19,DF
16747.0,2022,Yes,Male,White,20-24,RO
7591.0,2022,Yes,Male,White,20-24,AC
30668.0,2022,Yes,Male,White,20-24,AM
5332.0,2022,Yes,Male,White,20-24,RR
64189.0,2022,Yes,Male,White,20-24,PA
6823.0,2022,Yes,Male,White,20-24,AP
12849.0,2022,Yes,Male,White,20-24,TO
52852.0,2022,Yes,Male,White,20-24,MA
27683.0,2022,Yes,Male,White,20-24,PI
90346.0,2022,Yes,Male,White,20-24,CE
46221.0,2022,Yes,Male,White,20-24,RN
48952.0,2022,Yes,Male,White,20-24,PB
105557.0,2022,Yes,Male,White,20-24,PE
32822.0,2022,Yes,Male,White,20-24,AL
20553.0,2022,Yes,Male,White,20-24,SE
94293.0,2022,Yes,Male,White,20-24,BA
274429.0,2022,Yes,Male,White,20-24,MG
45476.0,2022,Yes,Male,White,20-24,ES
209358.0,2022,Yes,Male,White,20-24,RJ
826719.0,2022,Yes,Male,White,20-24,SP
252502.0,2022,Yes,Male,White,20-24,PR
198103.0,2022,Yes,Male,White,20-24,SC
274233.0,2022,Yes,Male,White,20-24,RS
38864.0,2022,Yes,Male,White,20-24,MS
41417.0,2022,Yes,Male,White,20-24,MT
87685.0,2022,Yes,Male,White,20-24,GO
39294.0,2022,Yes,Male,White,20-24,DF
34421.0,2022,Yes,Male,White,25-34,RO
12078.0,2022,Yes,Male,White,25-34,AC
51885.0,2022,Yes,Male,White,25-34,AM
10063.0,2022,Yes,Male,White,25-34,RR
109755.0,2022,Yes,Male,White,25-34,PA
11385.0,2022,Yes,Male,White,25-34,AP
23559.0,2022,Yes,Male,White,25-34,TO
91094.0,2022,Yes,Male,White,25-34,MA
49208.0,2022,Yes,Male,White,25-34,PI
165971.0,2022,Yes,Male,White,25-34,CE
88005.0,2022,Yes,Male,White,25-34,RN
90287.0,2022,Yes,Male,White,25-34,PB
191957.0,2022,Yes,Male,White,25-34,PE
55230.0,2022,Yes,Male,White,25-34,AL
35537.0,2022,Yes,Male,White,25-34,SE
165055.0,2022,Yes,Male,White,25-34,BA
557569.0,2022,Yes,Male,White,25-34,MG
96574.0,2022,Yes,Male,White,25-34,ES
418934.0,2022,Yes,Male,White,25-34,RJ
1736462.0,2022,Yes,Male,White,25-34,SP
524802.0,2022,Yes,Male,White,25-34,PR
442264.0,2022,Yes,Male,White,25-34,SC
575446.0,2022,Yes,Male,White,25-34,RS
81931.0,2022,Yes,Male,White,25-34,MS
89218.0,2022,Yes,Male,White,25-34,MT
175535.0,2022,Yes,Male,White,25-34,GO
75807.0,2022,Yes,Male,White,25-34,DF
33671.0,2022,Yes,Male,White,35-44,RO
10266.0,2022,Yes,Male,White,35-44,AC
45614.0,2022,Yes,Male,White,35-44,AM
8719.0,2022,Yes,Male,White,35-44,RR
102630.0,2022,Yes,Male,White,35-44,PA
9439.0,2022,Yes,Male,White,35-44,AP
24212.0,2022,Yes,Male,White,35-44,TO
85323.0,2022,Yes,Male,White,35-44,MA
45031.0,2022,Yes,Male,White,35-44,PI
151095.0,2022,Yes,Male,White,35-44,CE
84804.0,2022,Yes,Male,White,35-44,RN
86849.0,2022,Yes,Male,White,35-44,PB
187425.0,2022,Yes,Male,White,35-44,PE
51323.0,2022,Yes,Male,White,35-44,AL
34143.0,2022,Yes,Male,White,35-44,SE
180434.0,2022,Yes,Male,White,35-44,BA
585964.0,2022,Yes,Male,White,35-44,MG
109944.0,2022,Yes,Male,White,35-44,ES
453294.0,2022,Yes,Male,White,35-44,RJ
1892313.0,2022,Yes,Male,White,35-44,SP
522215.0,2022,Yes,Male,White,35-44,PR
452244.0,2022,Yes,Male,White,35-44,SC
610926.0,2022,Yes,Male,White,35-44,RS
82618.0,2022,Yes,Male,White,35-44,MS
88745.0,2022,Yes,Male,White,35-44,MT
180456.0,2022,Yes,Male,White,35-44,GO
83505.0,2022,Yes,Male,White,35-44,DF
28730.0,2022,Yes,Male,White,45-54,RO
6954.0,2022,Yes,Male,White,45-54,AC
32286.0,2022,Yes,Male,White,45-54,AM
5902.0,2022,Yes,Male,White,45-54,RR
73704.0,2022,Yes,Male,White,45-54,PA
6332.0,2022,Yes,Male,White,45-54,AP
19409.0,2022,Yes,Male,White,45-54,TO
57495.0,2022,Yes,Male,White,45-54,MA
31871.0,2022,Yes,Male,White,45-54,PI
108943.0,2022,Yes,Male,White,45-54,CE
59140.0,2022,Yes,Male,White,45-54,RN
62952.0,2022,Yes,Male,White,45-54,PB
141812.0,2022,Yes,Male,White,45-54,PE
38396.0,2022,Yes,Male,White,45-54,AL
24928.0,2022,Yes,Male,White,45-54,SE
139101.0,2022,Yes,Male,White,45-54,BA
503736.0,2022,Yes,Male,White,45-54,MG
88205.0,2022,Yes,Male,White,45-54,ES
392337.0,2022,Yes,Male,White,45-54,RJ
1559366.0,2022,Yes,Male,White,45-54,SP
451773.0,2022,Yes,Male,White,45-54,PR
363451.0,2022,Yes,Male,White,45-54,SC
517728.0,2022,Yes,Male,White,45-54,RS
65775.0,2022,Yes,Male,White,45-54,MS
70380.0,2022,Yes,Male,White,45-54,MT
150122.0,2022,Yes,Male,White,45-54,GO
65882.0,2022,Yes,Male,White,45-54,DF
23594.0,2022,Yes,Male,White,55-64,RO
4530.0,2022,Yes,Male,White,55-64,AC
22017.0,2022,Yes,Male,White,55-64,AM
4257.0,2022,Yes,Male,White,55-64,RR
52480.0,2022,Yes,Male,White,55-64,PA
4065.0,2022,Yes,Male,White,55-64,AP
14712.0,2022,Yes,Male,White,55-64,TO
40158.0,2022,Yes,Male,White,55-64,MA
24058.0,2022,Yes,Male,White,55-64,PI
84779.0,2022,Yes,Male,White,55-64,CE
45017.0,2022,Yes,Male,White,55-64,RN
47820.0,2022,Yes,Male,White,55-64,PB
106341.0,2022,Yes,Male,White,55-64,PE
27856.0,2022,Yes,Male,White,55-64,AL
18477.0,2022,Yes,Male,White,55-64,SE
110206.0,2022,Yes,Male,White,55-64,BA
467345.0,2022,Yes,Male,White,55-64,MG
79914.0,2022,Yes,Male,White,55-64,ES
369853.0,2022,Yes,Male,White,55-64,RJ
1355313.0,2022,Yes,Male,White,55-64,SP
381323.0,2022,Yes,Male,White,55-64,PR
318854.0,2022,Yes,Male,White,55-64,SC
510675.0,2022,Yes,Male,White,55-64,RS
54186.0,2022,Yes,Male,White,55-64,MS
56780.0,2022,Yes,Male,White,55-64,MT
119779.0,2022,Yes,Male,White,55-64,GO
48675.0,2022,Yes,Male,White,55-64,DF
4820.0,2022,Yes,Male,Black,15-19,RO
3286.0,2022,Yes,Male,Black,15-19,AC
8367.0,2022,Yes,Male,Black,15-19,AM
2115.0,2022,Yes,Male,Black,15-19,RR
33786.0,2022,Yes,Male,Black,15-19,PA
3903.0,2022,Yes,Male,Black,15-19,AP
7885.0,2022,Yes,Male,Black,15-19,TO
32922.0,2022,Yes,Male,Black,15-19,MA
13932.0,2022,Yes,Male,Black,15-19,PI
19169.0,2022,Yes,Male,Black,15-19,CE
9523.0,2022,Yes,Male,Black,15-19,RN
10735.0,2022,Yes,Male,Black,15-19,PB
31430.0,2022,Yes,Male,Black,15-19,PE
